Name,RA,DEC,Dist (kpc),Dist_err (kpc),RV (km/s),pmRA (mas/yr),pmDEC (mas/yr),[Fe/H],[C/Fe]c,[Sr/Fe],[Ba/Fe],[Eu/Fe],Comments,CEMP class,CEMP group,Abundance reference,RV reference,Dist source
BD+44_493,02:26:49.7345,+44:57:46.5406,0.207747775,0.002846426,-147.9256584,118.359,-32.229,-3.83,1.35,-0.23,-0.6,0.41,ulEuFe,CEMP-no,II,Ito2013,GAIA DR2,GAIA DR2
BD-18_5550,19:58:49.7268,-18:12:11.1228,0.492170743,0.010027438,-125.0765507,11.474,-91.153,-3.2,0.82,-0.95,-0.82,-0.41,,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
BS16929-005,13:03:29.4742,+33:51:09.1329,2.77252464,0.155033733,-49.0,-10.928,-4.156,-3.34,1.0,...,-0.41,...,,CEMP-no,II,Yong2013,Carrera; R. 2013,GAIA DR2
CS22185-007,03:17:36.0427,-15:17:22.8142,3.371084895,0.284478889,105.0,15.927,-6.963,-3.06,0.74,-0.75,-0.96,-0.26,,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22189-009,02:41:42.3846,-13:28:10.5031,5.303206298,0.859077732,-42.0,3.351,-4.588,-3.92,1.0,-0.89,-1.52,0.32,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22873-128,20:07:03.791,-58:34:57.4863,2.629263043,0.216111717,207.1480128,-0.016,-5.317,-3.32,0.79,-0.42,-1.37,-0.26,ulEuFe,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
CS22874-123,14:48:57.7379,-24:21:15.4021,1.183519857,0.084610956,95.0,-12.302,-31.524,-2.79,0.72,0.2,-0.13,1.41,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22877-001,13:13:55.3743,-12:11:41.7333,2.03701955,0.161320978,167.2299326,-16.203,-22.184,-3.31,1.55,-0.16,-0.5,0.03,,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
CS22882-012,00:30:22.5167,-27:35:27.2094,1.529138253,0.122604297,10.0,33.349,-17.802,-2.76,1.11,0.57,0.62,1.24,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22885-096,20:20:51.1567,-39:53:30.2503,4.449177345,0.489640847,-249.1,-4.434,-6.91,-4.41,1.27,-1.75,-1.64,0.68,ulEuFe,CEMP-no,II,Roederer2014,Roederer2014,GAIA DR2
