Name,RA,DEC,Dist (kpc),Dist_err (kpc),RV (km/s),pmRA (mas/yr),pmDEC (mas/yr),[Fe/H],[C/Fe]c,[Sr/Fe],[Ba/Fe],[Eu/Fe],Comments,CEMP class,CEMP group,Abundance reference,RV reference,Dist source
52972-1213-507,09:18:49.9177,+37:44:26.8122,1.767562857,0.178870004,-177.0,-5.857,-33.236,-2.98,2.81,-0.58,1.7,...,,CEMP-s,I,Yong2013,Carollo; D. 2014,GAIA DR2
BD+04_2466,11:26:49.1912,+03:51:51.7735,1.201920123,0.071135859,37.48972408,-22.372,-61.185,-1.9,1.34,...,1.63,...,,CEMP-s,I,Pereira2009,GAIA DR2,GAIA DR2
BS17436-058,13:36:46.0331,+45:03:08.5395,5.163755025,0.486410293,13.0,-10.252,-4.749,-1.9,1.76,1.17,1.68,1.28,,CEMP-rs,I,Allen2012,Allende Prieto; C. et. al. 2000,GAIA DR2
CD-27_14351,19:53:08.00,-27:28:14.96,2.402367976,0.216617623,59.69547673,-2.867,-18.493,-2.62,2.94,1.75,1.78,1.65,,CEMP-s,I,karinkuzhi2017,GAIA DR2,GAIA DR2
CD-62_1346,21:06:02.9161,-61:33:44.6845,0.699184199,0.013641896,125.772221,-15.073,-102.814,-1.57,1.04,...,1.51,...,,CEMP-s,I,Pereira2012,GAIA DR2,GAIA DR2
CS22879-029,20:38:51.8079,-38:36:46.7973,1.114316591,0.042189659,-161.0,22.393,-48.334,-2.55,1.46,0.99,1.39,0.59,,CEMP-s,I,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22880-074,20:46:03.2162,-20:59:14.1952,0.889461962,0.026295447,97.0,9.323,-61.977,-2.29,1.3,0.24,1.31,0.54,,CEMP-s,I,Yong2013,Beers; T. C. 1995,GAIA DR2
CS22881-036,22:07:58.4484,-40:44:16.4725,0.707890618,0.012198931,50.0,34.145,-89.608,-2.34,1.96,1.03,2.0,0.55,,CEMP-s,I,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22887-048,22:46:44.6152,-11:08:42.5354,0.875811433,0.044204338,-84.0,-30.53,-88.854,-1.7,1.98,1.1,1.95,1.48,,CEMP-rs,I,Allen2012,Beers; T. C. 1995,GAIA DR2
CS22891-171,19:28:04.0194,-59:24:26.455,5.110019555,0.633486878,39.0,0.618,-11.558,-2.25,1.68,...,2.48,...,,CEMP-s,I,Allen2012,Beers; T. C. 1992,GAIA DR2
CS22898-027,21:05:45.0882,-18:36:57.4749,0.583437443,0.023757274,-64.0,-8.213,-78.758,-2.26,2.2,0.98,2.23,2.01,,CEMP-rs,I,Masseron2012,Beers; T. C. 1992,GAIA DR2
CS22942-019,00:57:18.1352,-25:26:09.6946,1.741538576,0.134224146,-236.7381031,10.907,0.733,-2.64,2.02,1.5,1.92,0.79,,CEMP-s,I,Aoki2002,GAIA DR2,GAIA DR2
CS22945-024,23:36:42.4849,-65:35:43.5617,2.532360804,0.106766342,143.0,22.479,-9.699,-2.58,2.32,0.29,1.43,0.44,,CEMP-s,I,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22947-187,19:18:31.6159,-47:13:31.0461,5.574532661,1.252213525,-252.2860171,7.732,-20.136,-2.58,1.51,0.29,1.53,0.55,,CEMP-s,I,Roederer2014,GAIA DR2,GAIA DR2
CS22949-008a,23:16:58.7349,-03:20:52.5215,0.907903146,0.038982624,-149.0,18.249,-9.348,-2.09,1.55,...,1.32,...,,CEMP-s,I,Masseron2012,Beers; T. C. 2000,GAIA DR2
CS22956-028,21:44:48.7005,-63:22:09.7388,0.668862422,0.011169197,14.0,66.113,-83.815,-2.08,1.86,1.48,0.32,...,,CEMP-s,I,Sneden2003,Beers; T. C. 1992,GAIA DR2
CS22964-161a,20:03:25.5292,-38:38:35.4402,1.58031321,0.061687999,40.0,-25.895,-45.738,-2.37,1.58,0.55,1.36,...,,CEMP-s,I,Thompson2008,Beers; T. C. 1995,GAIA DR2
CS29495-42,21:39:11.4043,-28:17:54.397,4.662931898,0.782758162,-80.0,6.963,0.333,-1.84,1.43,0.2,1.77,0.8,,CEMP-s,I,Lucatello2004,Beers; T. C. 1992,GAIA DR2
CS29497-034,00:41:39.818,-26:18:54.4845,3.954392943,0.829643997,-42.97399411,18.876,-24.99,-3.0,2.76,1.05,2.28,1.79,,CEMP-rs,I,Yong2013,GAIA DR2,GAIA DR2
CS29509-027,00:50:15.7841,-30:59:56.235,0.844134183,0.041869654,58.0,95.333,-51.136,-2.42,1.74,1.03,1.5,1.12,ulEuFe,CEMP-s,I,Roederer2014,Wilhelm; R. 1999,GAIA DR2
CS29512-073,22:28:36.7096,-12:24:44.2204,1.366521706,0.089395363,-75.0,-32.291,-49.519,-2.1,1.24,0.47,1.6,0.53,,CEMP-s,I,Roederer2014,Beers; T. C. 1992,GAIA DR2
CS29513-014,23:14:24.8985,-37:53:06.9949,4.544524774,0.669829573,40.0,16.058,-2.722,-2.32,1.27,0.71,1.38,0.24,,CEMP-s,I,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS29526-110,03:27:43.6265,-23:00:29.9691,0.727737306,0.011931818,208.35,28.329,-90.456,-2.38,2.29,0.93,2.15,1.76,,CEMP-rs,I,Aoki2008,Aoki; W. et. al. 2002,GAIA DR2
CS29528-028,02:28:26.5502,-21:33:00.9293,1.804181444,0.127547055,58.23,14.288,-29.842,-2.86,2.77,...,3.27,...,,CEMP-s,I,Aoki2007,Aoki2007,GAIA DR2
CS30338-089,23:15:49.9733,+10:19:26.218,3.989472983,0.456581251,-113.06,1.876,-5.748,-2.78,2.17,...,2.3,...,,CEMP-s,I,Yong2013,Yong2013,GAIA DR2
CS31062-050,00:30:31.0679,-12:05:10.8963,1.243286314,0.075594816,7.75,50.032,-24.462,-2.28,2.0,...,2.3,1.9,,CEMP-rs,I,Yong2013,Aoki; W. et. al. 2002,GAIA DR2
HD187216,19:24:18.9871,+85:21:57.0295,2.113357334,0.159640632,-114.5,-2.176,4.126,-2.48,1.64,...,2.3,...,,CEMP-s,I,Kipper1994,Gontcharov; G. A. 2006,GAIA DR2
HD187861,19:56:26.9304,-65:22:08.1114,0.736103083,0.022625581,13.31637736,-26.058,-65.432,-2.3,2.69,...,...,...,,CEMP-s,I,Vanture1992,GAIA DR2,GAIA DR2
HD198269,20:48:36.7232,+17:50:23.8574,0.782209067,0.024940551,-209.5223848,38.844,-41.93,-2.08,2.59,1.16,1.26,...,,CEMP-s,I,Goswami2015McClure1990,GAIA DR2,GAIA DR2
HD201626,21:09:59.2696,+26:36:54.8215,0.219089486,0.00300359,-140.3862503,-39.901,28.237,-1.51,1.5,1.34,1.73,0.95,,CEMP-s,I,Placco2015b,GAIA DR2,GAIA DR2
HD209621,22:04:25.1446,+21:03:09.0728,1.332935383,0.153021907,-374.4184979,48.327,-12.805,-1.99,1.31,1.12,1.76,1.42,,CEMP-rs,I,Goswami2010McClure1990,GAIA DR2,GAIA DR2
HE0002-1037,00:05:22.9988,-10:20:23.0029,4.19442095,0.495310376,-31.295,6.446,-5.904,-3.75,3.43,...,1.67,...,,CEMP-s,I,Hansen2015c,Hansen2015c,GAIA DR2
HE0012-1441,00:15:27.0588,-14:24:37.7012,2.361407969,0.373335255,11.2,14.791,-11.176,-2.52,1.59,...,1.15,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE0017-4346,00:20:16.2005,-43:30:18.0014,1.576801387,0.112630116,58.9,22.583,0.537,-3.07,2.9,0.74,1.28,1.0,ulEuFe,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE0024-2523,00:27:27.6623,-25:06:28.1876,1.256655399,0.051799266,-181.6,-26.016,-65.602,-2.7,2.62,0.44,1.52,1.09,ulEuFe,CEMP-s,I,Masseron2012,Cohen2013,GAIA DR2
HE0058-0244,01:00:53.0302,-02:28:20.0248,0.999380772,0.023278599,-68.4,22.139,-40.894,-2.76,1.94,0.47,1.97,1.54,,CEMP-rs,I,Cohen2013,Cohen2013,GAIA DR2
HE0058-3449,01:01:21.7191,-34:33:10.7134,4.394844706,0.559664382,-33.0,7.45,-25.77,-2.1,1.01,1.3,1.8,...,,CEMP-s,I,hansen2015d,Frebel; A. 2006,GAIA DR2
HE0131-3953,01:33:36.4592,-39:37:51.9616,1.478722644,0.110805751,67.5,6.303,-32.967,-2.71,2.36,0.56,2.12,1.61,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE0134-2504,01:36:37.2987,-24:49:02.9981,3.715780287,0.3496433,9.0,5.484,-7.983,-2.74,1.81,0.97,1.65,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE0143-0441,01:45:37.9189,-04:26:43.4053,2.226787068,0.358824663,121.8,8.092,-14.33,-2.32,1.82,0.93,2.42,1.69,,CEMP-s,I,Yong2013,Cohen2013,GAIA DR2
HE0207-1423,02:10:00.6953,-14:09:11.0468,3.82911794,0.574878692,-209.6,21.609,-3.195,-2.95,2.41,...,1.73,...,,CEMP-s,I,Yong2013,Carollo; D. 2014,GAIA DR2
HE0231-4016,02:33:44.3945,-40:03:42.8748,2.551628594,0.236366037,180.8,26.12,9.081,-2.08,1.27,0.77,1.38,...,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE0243-3044,02:45:16.3982,-30:32:01.993,5.207089519,1.081795571,39.8,6.763,-4.237,-2.58,2.45,0.97,1.96,1.9,,CEMP-rs,I,hansen2015a,hansen2015a,GAIA DR2
HE0336+0113,03:38:52.8887,+01:23:07.8256,0.809550662,0.024463689,66.6,101.4,-31.113,-2.6,2.25,1.77,2.69,1.22,,CEMP-s,I,Yong2013,Cohen2013,GAIA DR2
HE0338-3945,03:39:55.0061,-39:35:42.8984,1.473697883,0.049772751,177.7,14.212,-5.333,-2.38,2.07,0.84,2.31,1.93,,CEMP-rs,I,Jonsell2006,Barklem2005,GAIA DR2
HE0400-2030,04:02:14.7867,-20:21:53.5494,3.929957387,0.34008492,221.83,3.265,-9.249,-1.78,1.15,...,1.67,...,,CEMP-s,I,Aoki2007,Aoki2007,GAIA DR2
HE0414-0343,04:17:16.4131,-03:36:30.8644,3.142179243,0.774176458,15.51285158,6.785,-12.324,-2.24,1.6,0.48,1.87,1.23,,CEMP-rs,I,Hollek2015,GAIA DR2,GAIA DR2
HE0430-4404,04:31:38.1152,-43:57:48.6127,1.606384088,0.079872008,201.5,0,-11.847,-2.07,1.35,0.66,1.53,...,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE0450-4902,04:51:43.2986,-48:57:24.9761,1.726683214,0.106226087,332.4,-18.984,-0.467,-3.07,2.03,0.64,1.21,2.0,ulEuFe,CEMP-s,I,hansen2015a,hansen2015a,GAIA DR2
HE0507-1653,05:09:16.4993,-16:50:04.9903,1.747730709,0.094764501,353.5285311,12.571,0.928,-1.43,1.32,...,1.93,...,,CEMP-s,I,aoki2007,GAIA DR2,GAIA DR2
HE1005-1439,10:07:52.3905,-14:54:20.9944,3.055549997,0.201652656,86.87,8.811,-21.026,-3.09,2.5,...,1.17,...,,CEMP-s,I,Yong2013,Yong2013,GAIA DR2
HE1046-1352,10:48:29.9978,-14:08:12.0023,3.087700194,0.44788797,79.471,0.765,-9.268,-2.76,3.33,...,1.38,...,,CEMP-s,I,Hansen2015c,Hansen2015c,GAIA DR2
HE1111-3026,11:13:44.8967,-30:42:47.9872,6.593357171,1.254984217,206.8,-9.731,-1.696,-2.0,1.03,...,1.31,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE1152-0355,11:55:06.0542,-04:12:24.819,6.376710755,1.908544346,431.3,-4.819,0.956,-1.32,0.73,...,1.59,...,,CEMP-s,I,Goswami2006,Goswami2006,GAIA DR2
HE1159-0525,12:02:26.8975,-05:41:53.9971,6.157123381,1.540382528,79.9,-4.602,-9.971,-2.91,2.04,0.06,1.53,0.7,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE1245-0215,12:48:22.499,-02:31:56.9843,2.396250219,0.460777489,-120.5,-16.723,1.441,-2.85,1.66,0.38,0.29,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE1305+0007,13:08:03.8476,-00:08:47.3992,4.034685357,0.873653067,228.5228134,-16.992,-1.784,-2.08,1.9,0.96,2.4,...,,CEMP-s,I,Goswami2006,GAIA DR2,GAIA DR2
HE1410-0004,14:13:04.6287,-00:18:32.4997,2.950592878,0.343914055,214.6,-10.108,-23.722,-3.09,2.13,0.26,1.13,2.44,ulEuFe,CEMP-s,I,Masseron2012,Cohen2013,GAIA DR2
HE1429-0551,14:32:31.2891,-06:05:00.2894,4.158569267,0.599378654,-43.12233026,-10.462,-18.86,-2.6,2.38,...,1.47,...,,CEMP-s,I,Yong2013jorissen2015?,GAIA DR2,GAIA DR2
HE1430-1123,14:33:33.6347,-11:37:07.4058,1.602461203,0.178156744,93.4,0.532,-19.509,-2.71,1.75,0.34,1.73,...,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE1434-1442,14:37:26.5885,-14:54:59.4002,3.344523089,0.463694536,125.0,-14.789,-15.3,-2.38,1.96,...,1.23,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE1439-1420,14:42:09.3969,-14:32:56.0022,2.099410884,0.205786187,79.5,-20.107,-16.487,-2.97,1.84,0.31,1.31,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE1443+0113,14:46:16.3583,+01:01:09.7918,4.786793427,1.274100383,2.8,1.009,-3.547,-2.11,1.58,...,1.79,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
