Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
52972-1213-507,-119.312427,0.909344564,23.94228146,1.081731519,119.3024586,1.348475155,110.7863308,0.012291907,-161.5116295,0.967332053,476.5658209,6.05218044,224.6569168,10.20461049,-476.5260043,3.478841531,-6.160251342,0.079539314,865.5944393,9.381049124,-154174.673,223.8267822,2.380527496,0.085877161,12.70663832,0.08205789,12.19426826,0.06477331,0.68445051,0.010717738
BD+04_2466,-56.23224061,0.216596837,95.65950265,0.667923325,56.08240926,0.656420802,-55.52228054,0.015905417,-144.2404257,0.94415434,183.729123,1.784018762,791.0389162,5.525585162,-183.239575,1.883891958,-13.40331157,0.130282443,420.8481911,6.905394909,-164878.2509,113.5342186,3.350035491,0.05550247,9.585403099,0.080650494,6.473101039,0.040658244,0.482023251,0.009241807
BD+44_493,-42.37608646,0.77496974,-62.87672764,0.630453453,42.37094755,1.244814679,1.900970605,0.01207312,58.96539189,0.265063778,421.8429649,2.735975647,-520.4533945,5.217654852,-421.7918084,2.338936557,6.569431237,0.042730761,41.27145541,0.491800779,-178136.0505,9.276972541,1.316042206,0.015188338,8.528275785,0.007108032,1.269951384,0.006277539,0.732631449,0.002863345
BD-18_5550,58.71796119,0.77060172,-10.98930085,0.420304825,-58.70187392,1.241112023,58.71680574,0.018048563,-42.10698326,0.368490373,621.115783,2.43956418,-84.69949625,3.240083083,-620.9456126,2.208269737,14.5382937,0.057500051,16.91371622,0.347193139,-183853.634,28.21160414,0.201252407,0.028854531,8.079767771,0.027438084,4.066808257,0.103155586,0.95140258,0.006878292
BS16929-005,79.99961062,0.167428678,-110.7403605,1.062642746,-79.93099069,0.578172255,56.5240934,0.007098703,-28.02154996,0.969474586,254.5520724,3.92530875,-908.6006336,8.718314426,-254.3337295,2.799492014,10.54094736,0.162618519,155.6555016,1.958261047,-168015.7116,111.4510328,2.942138033,0.038132604,9.277311296,0.003401401,3.651230755,0.025657208,0.518465011,0.004692537
BS17436-058,111.2173587,0.20307604,8.869794622,1.85760382,-108.8750868,0.623882116,58.60366714,0.042564625,97.77267253,1.169654218,869.6804629,8.270352707,76.12884386,15.94404317,-851.3647233,3.981404838,177.5449505,1.690072533,238.2774852,2.944834329,-159067.635,120.3688563,0.299937972,0.069624936,12.34838537,0.028562121,8.956439753,0.240644769,0.952632817,0.010732145
CD-27_14351,-92.54430945,0.956900908,-58.45224682,0.859365038,92.2162649,1.378498534,87.4670472,0.080638839,-52.15768542,0.570028281,329.0174794,3.117652994,-351.9726576,5.177514329,-327.8512014,2.48820848,27.67835283,0.262814295,73.25406177,0.895711328,-189992.8806,116.9213778,0.922711466,0.023288909,6.888132343,0.047544336,2.910524802,0.023261319,0.763727639,0.006191092
CD-62_1346,-38.40441498,0.734417106,119.9611382,0.461588009,38.38575827,1.211365945,-21.06636578,0.022897964,38.10893107,0.652348575,207.5014891,0.868027775,916.6241428,3.521054615,-207.4006857,1.31695453,-6.467111253,0.027267445,18.55629089,0.520777665,-177984.7829,62.93283159,2.70416672,0.012032677,7.826321926,0.00539323,0.856902021,0.013500618,0.486414194,0.001486879
CS22185-007,109.6575983,1.218382609,17.95412953,0.250781334,-109.3746916,1.556986902,-85.58509369,0.087509453,29.26591367,1.081797485,797.1568485,2.308061139,179.3934969,2.513627918,-795.1002563,2.142973848,-57.22432375,0.166997699,175.8794377,4.846320199,-162406.5297,140.8464703,0.496474766,0.02154215,11.4677126,0.027627797,6.665723324,0.6813095,0.917013931,0.003407538
CS22189-009,-53.83434769,1.820954954,-105.2533066,0.222025322,53.78192004,1.906520357,-53.83168141,0.080349167,48.37399805,1.313882974,393.9208913,4.486848803,-1123.39913,2.333671583,-393.5372636,2.992695735,-17.38075708,0.198061229,189.8656709,2.985013613,-154289.0089,86.50654556,3.571858041,0.023009679,12.37634884,0.031100901,5.236935167,0.036064569,0.552067436,0.002846064
CS22873-128,-164.7012595,0.709101195,-99.69991771,0.97366328,163.2765219,1.180582524,-121.6545596,0.093894961,-103.800244,0.816452411,276.6845047,2.870363659,-609.1096727,5.967835946,-274.2910633,2.375256827,-36.3142853,0.377308049,291.3979814,3.534460138,-171216.4215,199.9066312,2.320118711,0.063992072,8.752202816,0.037232108,5.336125226,0.047335833,0.580957256,0.009445052
CS22874-123,-77.44703959,0.755880806,-44.59947715,0.626286886,77.30514801,1.227284514,44.821523,0.045796553,-43.38319742,0.517349015,474.2425757,3.013176346,-322.071972,4.527829659,-473.3737107,2.450365648,-28.69408478,0.182894423,25.17585198,0.473827835,-184370.5038,33.70814082,0.78501548,0.023839013,7.783293552,0.031039716,3.246939654,0.381564465,0.816762274,0.005564629
CS22877-001,-32.25272104,0.504125276,71.41570745,0.923715387,31.96590477,0.99518746,-24.0366389,0.067117073,13.92420809,0.835750202,342.8773319,3.367896008,523.0046597,6.76181276,-339.8282,2.572262541,-45.62519709,0.448748432,53.75025563,0.499372444,-183006.149,70.33828386,1.532593691,0.020606155,7.604623179,0.005283758,2.716183558,0.009427549,0.664546276,0.003784098
CS22879-029,193.5207982,0.77036973,6.249589068,0.342843441,-193.5155144,1.241231375,-6.500348115,0.005739491,-17.34035332,0.599091896,872.6801474,3.072876043,45.18778344,2.477959386,-872.6563202,2.478995057,6.448764919,0.022945469,12.59478919,0.026925825,-170228.3895,140.1459922,0.117247905,0.027294381,10.417801,0.032020463,4.912049155,0.080202917,0.977752404,0.005115323
CS22880-074,-118.0674149,0.815655269,-43.12740014,0.421484854,117.9648959,1.276118653,-89.08225762,0.034078188,-149.3343818,0.572065815,323.3789743,2.138663604,-321.7695656,3.146968324,-323.0981814,2.066374224,13.4731645,0.089376325,539.8176095,4.691434344,-168764.1777,190.0497727,1.907993381,0.059021787,9.171609192,0.029236328,8.042028365,0.035313749,0.655635069,0.008203864
CS22881-036,11.40632939,0.601827515,69.79003798,0.234722135,-11.4063293,1.097112124,7.127781086,7.38E-05,-71.82780011,0.760253258,335.8361827,1.388904952,537.6718091,1.797571934,-335.8361802,1.666676292,0.041168252,0.000171642,75.87823232,1.860863094,-180908.0112,48.76736681,1.478553867,0.008364457,7.970252547,0.009915025,2.946508842,0.012062375,0.687039319,0.001691198
CS22882-012,131.0242943,0.794542284,-10.29561803,0.703271157,-131.0211658,1.260558877,100.2165999,0.00609738,-21.64421233,0.988436114,765.6811479,3.628107956,-82.45878486,5.63584859,-765.6628652,2.693672105,5.291203395,0.029473762,41.36333568,0.18755077,-173091.0706,105.4370118,0.218452924,0.066564942,9.847976065,0.049098104,4.617681355,0.137029731,0.956635098,0.013038434
CS22885-096,156.3776103,1.033874211,-80.20247195,1.306355088,-156.3506986,1.437719303,155.7183069,0.019327813,202.4072528,0.894795224,64.13125537,2.238487491,-353.7909141,5.780805086,-64.12021878,2.115522204,1.189730403,0.041538812,939.6514479,7.079492575,-166525.5683,232.3357538,4.355798221,0.011615091,8.118142877,0.057106182,7.72197279,0.052107599,0.301602255,0.003677451
CS22887-048,-255.0247721,0.44868226,59.76506417,0.496540311,254.6990815,0.946083524,19.0590234,0.023407484,24.98791233,0.847787634,1085.604174,3.496649964,469.6838122,3.901682348,-1084.217756,2.641107858,54.84779321,0.178397942,13.46979876,0.066816658,-150030.435,101.6929292,0.952498705,0.012456021,15.153757,0.031144903,0.980027748,0.026211966,0.881723428,0.001505339
