Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
BD+44_493,-42.37608646,0.77496974,-62.87672764,0.630453453,42.37094755,1.244814679,1.900970605,0.01207312,58.96539189,0.265063778,421.8429649,2.735975647,-520.4533945,5.217654852,-421.7918084,2.338936557,6.569431237,0.042730761,41.27145541,0.491800779,-178136.0505,9.276972541,1.316042206,0.015188338,8.528275785,0.007108032,1.269951384,0.006277539,0.732631449,0.002863345
BD-18_5550,58.71796119,0.77060172,-10.98930085,0.420304825,-58.70187392,1.241112023,58.71680574,0.018048563,-42.10698326,0.368490373,621.115783,2.43956418,-84.69949625,3.240083083,-620.9456126,2.208269737,14.5382937,0.057500051,16.91371622,0.347193139,-183853.634,28.21160414,0.201252407,0.028854531,8.079767771,0.027438084,4.066808257,0.103155586,0.95140258,0.006878292
BS16929-005,79.99961062,0.167428678,-110.7403605,1.062642746,-79.93099069,0.578172255,56.5240934,0.007098703,-28.02154996,0.969474586,254.5520724,3.92530875,-908.6006336,8.718314426,-254.3337295,2.799492014,10.54094736,0.162618519,155.6555016,1.958261047,-168015.7116,111.4510328,2.942138033,0.038132604,9.277311296,0.003401401,3.651230755,0.025657208,0.518465011,0.004692537
CS22185-007,109.6575983,1.218382609,17.95412953,0.250781334,-109.3746916,1.556986902,-85.58509369,0.087509453,29.26591367,1.081797485,797.1568485,2.308061139,179.3934969,2.513627918,-795.1002563,2.142973848,-57.22432375,0.166997699,175.8794377,4.846320199,-162406.5297,140.8464703,0.496474766,0.02154215,11.4677126,0.027627797,6.665723324,0.6813095,0.917013931,0.003407538
CS22189-009,-53.83434769,1.820954954,-105.2533066,0.222025322,53.78192004,1.906520357,-53.83168141,0.080349167,48.37399805,1.313882974,393.9208913,4.486848803,-1123.39913,2.333671583,-393.5372636,2.992695735,-17.38075708,0.198061229,189.8656709,2.985013613,-154289.0089,86.50654556,3.571858041,0.023009679,12.37634884,0.031100901,5.236935167,0.036064569,0.552067436,0.002846064
CS22873-128,-164.7012595,0.709101195,-99.69991771,0.97366328,163.2765219,1.180582524,-121.6545596,0.093894961,-103.800244,0.816452411,276.6845047,2.870363659,-609.1096727,5.967835946,-274.2910633,2.375256827,-36.3142853,0.377308049,291.3979814,3.534460138,-171216.4215,199.9066312,2.320118711,0.063992072,8.752202816,0.037232108,5.336125226,0.047335833,0.580957256,0.009445052
CS22874-123,-77.44703959,0.755880806,-44.59947715,0.626286886,77.30514801,1.227284514,44.821523,0.045796553,-43.38319742,0.517349015,474.2425757,3.013176346,-322.071972,4.527829659,-473.3737107,2.450365648,-28.69408478,0.182894423,25.17585198,0.473827835,-184370.5038,33.70814082,0.78501548,0.023839013,7.783293552,0.031039716,3.246939654,0.381564465,0.816762274,0.005564629
CS22877-001,-32.25272104,0.504125276,71.41570745,0.923715387,31.96590477,0.99518746,-24.0366389,0.067117073,13.92420809,0.835750202,342.8773319,3.367896008,523.0046597,6.76181276,-339.8282,2.572262541,-45.62519709,0.448748432,53.75025563,0.499372444,-183006.149,70.33828386,1.532593691,0.020606155,7.604623179,0.005283758,2.716183558,0.009427549,0.664546276,0.003784098
CS22882-012,131.0242943,0.794542284,-10.29561803,0.703271157,-131.0211658,1.260558877,100.2165999,0.00609738,-21.64421233,0.988436114,765.6811479,3.628107956,-82.45878486,5.63584859,-765.6628652,2.693672105,5.291203395,0.029473762,41.36333568,0.18755077,-173091.0706,105.4370118,0.218452924,0.066564942,9.847976065,0.049098104,4.617681355,0.137029731,0.956635098,0.013038434
CS22885-096,156.3776103,1.033874211,-80.20247195,1.306355088,-156.3506986,1.437719303,155.7183069,0.019327813,202.4072528,0.894795224,64.13125537,2.238487491,-353.7909141,5.780805086,-64.12021878,2.115522204,1.189730403,0.041538812,939.6514479,7.079492575,-166525.5683,232.3357538,4.355798221,0.011615091,8.118142877,0.057106182,7.72197279,0.052107599,0.301602255,0.003677451
