Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
52972-1213-507,-119.312427,0.909344564,23.94228146,1.081731519,119.3024586,1.348475155,110.7863308,0.012291907,-161.5116295,0.967332053,476.5658209,6.05218044,224.6569168,10.20461049,-476.5260043,3.478841531,-6.160251342,0.079539314,865.5944393,9.381049124,-154174.673,223.8267822,2.380527496,0.085877161,12.70663832,0.08205789,12.19426826,0.06477331,0.68445051,0.010717738
BD+04_2466,-56.23224061,0.216596837,95.65950265,0.667923325,56.08240926,0.656420802,-55.52228054,0.015905417,-144.2404257,0.94415434,183.729123,1.784018762,791.0389162,5.525585162,-183.239575,1.883891958,-13.40331157,0.130282443,420.8481911,6.905394909,-164878.2509,113.5342186,3.350035491,0.05550247,9.585403099,0.080650494,6.473101039,0.040658244,0.482023251,0.009241807
BS17436-058,111.2173587,0.20307604,8.869794622,1.85760382,-108.8750868,0.623882116,58.60366714,0.042564625,97.77267253,1.169654218,869.6804629,8.270352707,76.12884386,15.94404317,-851.3647233,3.981404838,177.5449505,1.690072533,238.2774852,2.944834329,-159067.635,120.3688563,0.299937972,0.069624936,12.34838537,0.028562121,8.956439753,0.240644769,0.952632817,0.010732145
CD-27_14351,-92.54430945,0.956900908,-58.45224682,0.859365038,92.2162649,1.378498534,87.4670472,0.080638839,-52.15768542,0.570028281,329.0174794,3.117652994,-351.9726576,5.177514329,-327.8512014,2.48820848,27.67835283,0.262814295,73.25406177,0.895711328,-189992.8806,116.9213778,0.922711466,0.023288909,6.888132343,0.047544336,2.910524802,0.023261319,0.763727639,0.006191092
CD-62_1346,-38.40441498,0.734417106,119.9611382,0.461588009,38.38575827,1.211365945,-21.06636578,0.022897964,38.10893107,0.652348575,207.5014891,0.868027775,916.6241428,3.521054615,-207.4006857,1.31695453,-6.467111253,0.027267445,18.55629089,0.520777665,-177984.7829,62.93283159,2.70416672,0.012032677,7.826321926,0.00539323,0.856902021,0.013500618,0.486414194,0.001486879
CS22879-029,193.5207982,0.77036973,6.249589068,0.342843441,-193.5155144,1.241231375,-6.500348115,0.005739491,-17.34035332,0.599091896,872.6801474,3.072876043,45.18778344,2.477959386,-872.6563202,2.478995057,6.448764919,0.022945469,12.59478919,0.026925825,-170228.3895,140.1459922,0.117247905,0.027294381,10.417801,0.032020463,4.912049155,0.080202917,0.977752404,0.005115323
CS22880-074,-118.0674149,0.815655269,-43.12740014,0.421484854,117.9648959,1.276118653,-89.08225762,0.034078188,-149.3343818,0.572065815,323.3789743,2.138663604,-321.7695656,3.146968324,-323.0981814,2.066374224,13.4731645,0.089376325,539.8176095,4.691434344,-168764.1777,190.0497727,1.907993381,0.059021787,9.171609192,0.029236328,8.042028365,0.035313749,0.655635069,0.008203864
CS22881-036,11.40632939,0.601827515,69.79003798,0.234722135,-11.4063293,1.097112124,7.127781086,7.38E-05,-71.82780011,0.760253258,335.8361827,1.388904952,537.6718091,1.797571934,-335.8361802,1.666676292,0.041168252,0.000171642,75.87823232,1.860863094,-180908.0112,48.76736681,1.478553867,0.008364457,7.970252547,0.009915025,2.946508842,0.012062375,0.687039319,0.001691198
CS22887-048,-255.0247721,0.44868226,59.76506417,0.496540311,254.6990815,0.946083524,19.0590234,0.023407484,24.98791233,0.847787634,1085.604174,3.496649964,469.6838122,3.901682348,-1084.217756,2.641107858,54.84779321,0.178397942,13.46979876,0.066816658,-150030.435,101.6929292,0.952498705,0.012456021,15.153757,0.031144903,0.980027748,0.026211966,0.881723428,0.001505339
CS22891-171,82.41483581,1.10085604,-21.30470848,1.776558003,-75.43501111,1.358198486,-52.23350023,0.444134054,-55.01559053,1.30121888,313.1497815,4.116471349,-91.66621785,7.646590888,-286.6286999,2.62666422,-126.1220138,1.660859241,140.896444,0.750192032,-198645.2166,55.0013119,0.40061319,0.072678926,5.973192906,0.056717017,2.75643162,0.147121888,0.874361815,0.022522894
CS22898-027,-42.70754535,0.712395728,-20.89245949,0.405113452,42.68884779,1.193123702,38.03585097,0.021086266,3.239929348,0.600632411,587.2948078,1.281919352,-161.375449,3.129259387,-587.0376873,1.600498152,17.3765597,0.038790131,3.971088818,0.015353304,-185065.6839,35.64382247,0.363372806,0.012802347,7.883108163,0.008594598,3.754006088,0.085786156,0.911876572,0.002965361
CS22942-019,59.41304184,0.759156447,-197.7724282,0.154037041,-59.41284417,1.232194299,-8.755717228,0.001959542,245.9980054,1.008004265,323.6425382,6.683258903,-1618.506787,1.259650557,-323.6414615,3.6560127,0.834852455,0.017244051,1010.345946,6.402030125,-128846.7635,252.8365282,8.350089417,0.002755849,18.98141365,0.133829131,14.68617544,0.126470603,0.388962301,0.002991297
CS22945-024,141.5923612,0.771985751,-4.461190372,0.627512807,-139.6639662,1.225645133,137.1485112,0.127519216,-111.4748919,1.010072214,718.4342511,0.972341313,-31.52175475,4.433866552,-708.6496483,1.375562386,-118.1670239,0.170711548,172.7209176,3.025543444,-170475.1334,176.2903322,0.119016054,0.041195187,10.09247962,0.187047013,5.06558177,0.164166597,0.976659352,0.008129415
CS22947-187,450.6339016,0.889639783,32.87448316,1.893704905,-434.7910153,1.287479874,447.7983934,0.267008911,-195.2224728,1.046866537,4187.378109,27.00959469,105.4004455,6.072483859,-4040.16292,7.098884751,-1100.553256,7.19920989,290.1807331,3.762580608,-91835.5118,291.5584411,0.438389191,0.159114566,51.90943653,0.350033748,47.79806995,3.178270773,0.983265995,0.006027514
CS22949-008a,64.78468075,0.385900615,-105.4786528,0.527791609,-64.67023187,0.876970192,62.99951968,0.023003289,88.00038513,0.817272799,221.8904886,0.37727276,-845.0450495,4.228774343,-221.498496,0.867111327,13.18351876,0.023301613,150.8260096,3.14744313,-172050.2212,42.47805097,2.788680427,0.012108855,8.505268202,0.006368346,3.419777515,0.045755709,0.506165248,0.001682809
CS22956-028,186.5208326,0.614422862,18.93455257,0.450265959,-186.4229733,1.107951546,15.83456392,0.020097442,-47.16967812,0.720523201,856.6903016,3.95609669,145.8797827,3.467800856,-856.2408336,2.811386379,-27.74720776,0.128780388,20.43326993,0.64035673,-167498.5668,79.32344105,0.313313659,0.023411661,10.93767783,0.027541716,4.83526248,0.059687638,0.944307245,0.004119285
CS22964-161a,-117.7288171,0.830350276,126.4778803,0.486232045,117.7259645,1.288650487,-85.60755715,0.005795143,88.34110113,0.511570564,253.2841583,2.079491443,854.1030204,3.26436,-253.2780213,2.039309037,1.763166218,0.01450333,82.63073391,1.084259731,-173512.7947,119.5903835,2.640876572,0.015089069,8.598902559,0.017124282,2.413420818,0.011277329,0.530086953,0.001662177
CS29495-42,197.7256435,1.533014696,-186.6925064,0.937642357,-193.691376,1.71529116,192.4166107,0.309347454,-34.68759806,1.014522002,397.3768944,8.616161695,-984.7369709,4.963941116,-389.2690705,4.066501483,79.86227932,1.732522631,320.8797055,1.63863885,-153638.7554,467.5540834,3.52255501,0.009258396,12.5491986,0.138317098,6.990325642,0.076894149,0.561617802,0.003327072
CS29497-034,37.84136887,1.490054006,341.2339953,0.428087872,-37.83654589,1.726078914,35.26420158,0.023790703,29.97117651,0.973463598,685.797873,4.767408751,2738.678,3.42597244,-685.7104664,3.087456428,10.94891872,0.076282226,368.3640891,1.26619444,-115760.3091,125.7105674,8.760981913,0.013803066,26.64632221,0.100301725,12.63555472,0.021881672,0.505126836,0.00186923
